Unnamed: 0,PM1.0,PM2.5,PM10,Temperature,Humidity,CO
2021-01-01 07:00:00+07:00,64.94,73.21,133.21,14.48,81.89,890.0
2021-01-02 07:00:00+07:00,91.88,105.3,195.1,14.38,81.71,1231.96
2021-01-03 07:00:00+07:00,115.65,138.63,257.49,14.61,81.0,1652.95
2021-01-04 07:00:00+07:00,100.1,114.25,208.96,17.0,81.0,1338.77
2021-01-05 07:00:00+07:00,159.48,205.24,391.32,17.0,81.0,3251.82
2021-01-06 07:00:00+07:00,,,,,,
2021-01-07 07:00:00+07:00,87.42,111.05,203.11,16.0,81.0,1258.28
2021-01-08 07:00:00+07:00,3.21,4.99,9.99,13.45,81.71,437.63
2021-01-09 07:00:00+07:00,20.18,20.12,34.0,13.53,81.88,523.94
2021-01-10 07:00:00+07:00,24.25,24.69,42.88,13.21,81.36,541.42
2021-01-11 07:00:00+07:00,35.12,36.82,64.65,14.09,81.18,618.61
2021-01-12 07:00:00+07:00,,,,,,
2021-01-13 07:00:00+07:00,,,,,,
2021-01-14 07:00:00+07:00,87.67,103.28,192.01,15.0,81.0,1212.73
2021-01-15 07:00:00+07:00,119.63,148.89,281.31,16.0,81.0,1866.94
2021-01-16 07:00:00+07:00,106.56,135.07,251.94,17.0,81.0,1667.96
2021-01-17 07:00:00+07:00,68.76,84.59,157.12,17.0,81.0,1002.27
2021-01-18 07:00:00+07:00,35.16,38.04,68.22,15.0,81.0,628.56
2021-01-19 07:00:00+07:00,,,,,,
2021-01-20 07:00:00+07:00,,,,,,
2021-01-21 07:00:00+07:00,,,,,,
2021-01-22 07:00:00+07:00,88.57,110.67,211.86,17.12,81.36,1264.39
2021-01-23 07:00:00+07:00,,,,,,
2021-01-24 07:00:00+07:00,,,,,,
2021-01-25 07:00:00+07:00,,,,,,
2021-01-26 07:00:00+07:00,43.27,49.37,89.58,19.14,81.71,731.89
2021-01-27 07:00:00+07:00,30.29,36.53,67.12,19.18,81.88,623.41
2021-01-28 07:00:00+07:00,52.42,65.61,122.36,19.18,81.89,833.46
2021-01-29 07:00:00+07:00,51.41,56.82,102.59,18.27,82.06,757.44
2021-01-30 07:00:00+07:00,48.24,59.81,110.96,18.24,81.89,782.26
2021-01-31 07:00:00+07:00,52.32,63.7,117.87,18.14,81.54,794.61
2021-02-01 07:00:00+07:00,42.79,49.21,89.43,19.14,81.71,703.63
2021-02-02 07:00:00+07:00,,,,,,
2021-02-03 07:00:00+07:00,44.18,53.35,98.0,19.14,81.71,733.58
2021-02-04 07:00:00+07:00,34.62,39.83,72.38,19.07,81.36,624.38
2021-02-05 07:00:00+07:00,32.31,41.0,76.13,19.0,81.0,635.94
2021-02-06 07:00:00+07:00,,,,,,
2021-02-07 07:00:00+07:00,,,,,,
2021-02-08 07:00:00+07:00,,,,,,
2021-02-09 07:00:00+07:00,8.88,6.38,10.84,16.0,81.0,456.2
2021-02-10 07:00:00+07:00,,,,,,
2021-02-11 07:00:00+07:00,,,,,,
2021-02-12 07:00:00+07:00,,,,,,
2021-02-13 07:00:00+07:00,,,,,,
2021-02-14 07:00:00+07:00,,,,,,
2021-02-15 07:00:00+07:00,,,,,,
2021-02-16 07:00:00+07:00,,,,,,
2021-02-17 07:00:00+07:00,,,,,,
