AQI,AQITime,Address,KitID,Location,Name,Sensors,TotalViews,locationType,outdoor
85,1614909600000,"phường Bưởi, quận Tây Hồ",1037,"[21.05226, 105.8117]",Trung tâm Live & Learn,"[{'Time': 1614909600000, 'averageByHour': [35.86666666666667, 44.977777777777774, 80.8], 'name': 'PMS5003'}, {'Time': 1614909600000, 'averageByHour': [19.075, 81.375], 'name': 'DHT22'}, {'Time': 1614909600000, 'averageByHour': [609.2], 'name': 'MQ7'}]",91603,2,True
10,1607997600000,"phường Bách Khoa, quận Hai Bà Trưng",1038,"[21.00257, 105.84653]",Trường THCS & THPT Tạ Quang Bửu,"[{'Time': 1607990400000, 'averageByHour': [7, 5.333333333333333, 11], 'name': 'PMS5003'}, {'Time': 1607994000000, 'averageByHour': [15, 81], 'name': 'DHT22'}, {'Time': 1607994000000, 'averageByHour': [438.3968253968254], 'name': 'MQ7'}]",148292,2,True
91,1614909600000,"phường Trung Hòa, quận Cầu Giấy",1039,"[21.00764015, 105.80453388]",Trường mầm non KOI,"[{'Time': 1614909600000, 'averageByHour': [38.80597014925373, 44.55223880597015, 87.02985074626865], 'name': 'PMS5003'}, {'Time': 1614909600000, 'averageByHour': [19, 81], 'name': 'DHT22'}, {'Time': 1614909600000, 'averageByHour': [666.1204819277109], 'name': 'MQ7'}]",61324,2,True
53,1574668800000,"phường Phạm Đình Hổ, quận Hai Bà Trưng",1040,"[21.01318005, 105.86081255]",Viện Sức khỏe Nghề nghiệp và Môi trường,"[{'Time': 1574661600000, 'averageByHour': [39.97435897435897, 37.69230769230769, 68.05128205128206], 'name': 'PMS5003'}, {'Time': 1574661600000, 'averageByHour': [24, 64], 'name': 'DHT22'}, {'Time': 1574661600000, 'averageByHour': [601.5128205128206], 'name': 'MQ7'}]",41574,2,True
119,1614909600000,"phường Đồng Tâm, quận Hai Bà Trưng",1041,"[20.99603, 105.84455]",Trường tiểu học Công nghệ giáo dục,"[{'Time': 1614909600000, 'averageByHour': [56.392857142857146, 66.17857142857143, 128], 'name': 'PMS5003'}, {'Time': 1614909600000, 'averageByHour': [19.039473684210527, 81.19736842105263], 'name': 'DHT22'}, {'Time': 1614909600000, 'averageByHour': [595.2763157894736], 'name': 'MQ7'}]",109030,2,True
7,1598439600000,"phường Vĩnh Phúc, quận Ba Đình",1043,"[21.04169108, 105.80900309]",Viện Tư vấn Phát triển Kinh tế Xã hội Nông thôn và Miền núi,"[{'Time': 1598432400000, 'averageByHour': [12.275862068965518, 5.241379310344827, 11.724137931034482], 'name': 'PMS5003'}, {'Time': 1598432400000, 'averageByHour': [27.08974358974359, 88.6923076923077], 'name': 'DHT22'}, {'Time': 1598432400000, 'averageByHour': [420.4871794871795], 'name': 'MQ7'}]",318963,2,True
103,1614909600000,"phường Đức Thắng, quận Bắc Từ Liêm",1044,"[21.082295105950106, 105.77339286528215]",Trường THCS Đức Thắng,"[{'Time': 1614909600000, 'averageByHour': [49.310344827586206, 55.310344827586206, 101.17241379310344], 'name': 'PMS5003'}, {'Time': 1614909600000, 'averageByHour': [18.710843373493976, 81], 'name': 'DHT22'}, {'Time': 1614909600000, 'averageByHour': [733.0120481927711], 'name': 'MQ7'}]",5822,2,True
94,1614909600000,"phường Ô Chợ Dừa, quận Đống Đa",1045,"[21.02431735, 105.82139752]",Trường mầm non Casa Dei Piccioni,"[{'Time': 1614909600000, 'averageByHour': [40.666666666666664, 50.074074074074076, 96.22222222222223], 'name': 'PMS5003'}, {'Time': 1614909600000, 'averageByHour': [22, 96], 'name': 'DHT22'}, {'Time': 1614909600000, 'averageByHour': [608.3048780487804], 'name': 'MQ7'}]",757336,2,True
95,1614909600000,"phường Dịch Vọng Hậu, quận Cầu Giấy",1046,"[21.03793057, 105.78543088]",Trường mầm non Búp Sen Xanh,"[{'Time': 1614909600000, 'averageByHour': [56.34920634920635, 59.857142857142854, 112.41269841269842], 'name': 'PMS5003'}, {'Time': 1614909600000, 'averageByHour': [19.964285714285715, 85.82142857142857], 'name': 'DHT22'}, {'Time': 1614909600000, 'averageByHour': [807.5952380952381], 'name': 'MQ7'}]",668477,2,True
82,1614909600000,"phường Cống Vị, quận Ba Đình",1047,"[21.03281213, 105.81257742]",Trường Thực Nghiệm,"[{'Time': 1614906000000, 'averageByHour': [13.666666666666666, 38, 55.666666666666664], 'name': 'PMS5003'}, {'Time': 1614909600000, 'averageByHour': [20.78125, 89.90625], 'name': 'DHT22'}, {'Time': 1614909600000, 'averageByHour': [513.84375], 'name': 'MQ7'}]",296899,1,True
92,1614909600000,"xã Cự Khê, huyện Thanh Oai",1051,"[20.931335699999998, 105.79145879]",Trường Liên cấp Tuệ Đức,"[{'Time': 1614909600000, 'averageByHour': [36.656716417910445, 42.40298507462686, 75.02985074626865], 'name': 'PMS5003'}, {'Time': 1614909600000, 'averageByHour': [19.94047619047619, 84.57142857142857], 'name': 'DHT22'}, {'Time': 1614909600000, 'averageByHour': [644.5833333333334], 'name': 'MQ7'}]",416440,1,True
67,1588582800000,"phường Trung Hòa, quận Cầu Giấy",1053,"[21.01489, 105.79834]",Trường Mầm non Trăng Đỏ,"[{'Time': 1588579200000, 'averageByHour': [33.72727272727273, 31.151515151515152, 53.15151515151515], 'name': 'PMS5003'}, {'Time': 1588586400000, 'averageByHour': [27.8, 81], 'name': 'DHT22'}, {'Time': 1588586400000, 'averageByHour': [447.6], 'name': 'MQ7'}]",74552,2,True
48,1605340800000,"phường Trung Văn, quận Từ Liêm",1055,"[20.99151816, 105.7902017]",Trường Olympia,"[{'Time': 1605484800000, 'averageByHour': [41, 50, 102], 'name': 'PMS5003'}, {'Time': 1605502800000, 'averageByHour': [19.225806451612904, 81.48387096774194], 'name': 'DHT22'}]",89857,1,True
131,1588647600000,"phường Phú Đô, quận Nam Từ Liêm",1072,"[21.000472681069464, 105.7643129138107]",Viện Môi trường Nông Nghiệp,"[{'Time': 1589313600000, 'averageByHour': [37, 39, 65], 'name': 'PMS5003'}, {'Time': 1589328000000, 'averageByHour': [24, 81], 'name': 'DHT22'}, {'Time': 1589328000000, 'averageByHour': [418.42857142857144], 'name': 'MQ7'}]",1693,2,True
62,1604073600000,"phường Đông Ngạc, quận Bắc Từ Liêm",1080,"[21.08284, 105.779777]",Trường Đại học Y tế Công cộng,"[{'Time': 1604066400000, 'averageByHour': [28.353846153846153, 26.23076923076923, 42.56923076923077], 'name': 'PMS5003'}, {'Time': 1604066400000, 'averageByHour': [21.329268292682926, 81], 'name': 'DHT22'}, {'Time': 1604066400000, 'averageByHour': [685.5365853658536], 'name': 'MQ7'}]",89409,2,True
97,1614909600000,"phường Yên Hòa, quận Cầu Giấy",1081,"[21.0181984, 105.7952921]",PanNature - Trung tâm Con người và Thiên nhiên,"[{'Time': 1614909600000, 'averageByHour': [39.45161290322581, 47.935483870967744, 88.29032258064517], 'name': 'PMS5003'}, {'Time': 1614909600000, 'averageByHour': [19, 81], 'name': 'DHT22'}, {'Time': 1614909600000, 'averageByHour': [850.1851851851852], 'name': 'MQ7'}]",6347,2,True
55,1603332000000,"phường Minh Khai, quận Bắc Từ Liêm",1082,"[21.053519, 105.736145]",Trường Đại học Công Nghiệp Hà Nội,"[{'Time': 1603328400000, 'averageByHour': [45, 42, 70], 'name': 'PMS5003'}, {'Time': 1603339200000, 'averageByHour': [24, 63.3875], 'name': 'DHT22'}, {'Time': 1603339200000, 'averageByHour': [611.2125], 'name': 'MQ7'}]",37028,2,True
116,1614909600000,"phường Xuân Phương, quận Nam Từ Liêm",1084,"[21.03231702703264, 105.74872450649983]",Trường THCS Nam Từ Liêm,"[{'Time': 1614909600000, 'averageByHour': [60.45454545454545, 68.27272727272727, 127.63636363636364], 'name': 'PMS5003'}, {'Time': 1614909600000, 'averageByHour': [19, 81], 'name': 'DHT22'}, {'Time': 1614909600000, 'averageByHour': [588.6857142857143], 'name': 'MQ7'}]",59733,2,True
