,yymmdd,time,time zone,AQI 24h
0,2021-01-01,07:00:00,07:00,
1,2021-01-02,07:00:00,07:00,
2,2021-01-03,07:00:00,07:00,
3,2021-01-04,07:00:00,07:00,
4,2021-01-05,07:00:00,07:00,
5,2021-01-06,07:00:00,07:00,
6,2021-01-07,07:00:00,07:00,
7,2021-01-08,07:00:00,07:00,
8,2021-01-09,07:00:00,07:00,
9,2021-01-10,07:00:00,07:00,
10,2021-01-11,07:00:00,07:00,
11,2021-01-12,07:00:00,07:00,
12,2021-01-13,07:00:00,07:00,
13,2021-01-14,07:00:00,07:00,
14,2021-01-15,07:00:00,07:00,251.39583333333334
15,2021-01-16,07:00:00,07:00,
16,2021-01-17,07:00:00,07:00,
17,2021-01-18,07:00:00,07:00,
18,2021-01-19,07:00:00,07:00,
19,2021-01-20,07:00:00,07:00,
20,2021-01-21,07:00:00,07:00,
21,2021-01-22,07:00:00,07:00,
22,2021-01-23,07:00:00,07:00,
23,2021-01-24,07:00:00,07:00,
24,2021-01-25,07:00:00,07:00,
25,2021-01-26,07:00:00,07:00,
26,2021-01-27,07:00:00,07:00,
27,2021-01-28,07:00:00,07:00,
28,2021-01-29,07:00:00,07:00,
29,2021-01-30,07:00:00,07:00,
30,2021-01-31,07:00:00,07:00,3.72265
31,2021-02-01,07:00:00,07:00,
32,2021-02-02,07:00:00,07:00,
33,2021-02-03,07:00:00,07:00,
34,2021-02-04,07:00:00,07:00,
35,2021-02-05,07:00:00,07:00,
36,2021-02-06,07:00:00,07:00,
37,2021-02-07,07:00:00,07:00,
38,2021-02-08,07:00:00,07:00,
39,2021-02-09,07:00:00,07:00,
40,2021-02-10,07:00:00,07:00,
41,2021-02-11,07:00:00,07:00,119.11319444444445
42,2021-02-12,07:00:00,07:00,105.99097222222223
43,2021-02-13,07:00:00,07:00,90.81083333333333
44,2021-02-14,07:00:00,07:00,
45,2021-02-15,07:00:00,07:00,138.34791666666666
46,2021-02-16,07:00:00,07:00,
47,2021-02-17,07:00:00,07:00,
48,2021-02-18,07:00:00,07:00,
49,2021-02-19,07:00:00,07:00,
50,2021-02-20,07:00:00,07:00,
51,2021-02-21,07:00:00,07:00,
52,2021-02-22,07:00:00,07:00,
53,2021-02-23,07:00:00,07:00,
54,2021-02-24,07:00:00,07:00,99.58
55,2021-02-25,07:00:00,07:00,
56,2021-02-26,07:00:00,07:00,
57,2021-02-27,07:00:00,07:00,
58,2021-02-28,07:00:00,07:00,
59,2021-03-01,07:00:00,07:00,
60,2021-03-02,07:00:00,07:00,
61,2021-03-03,07:00:00,07:00,
62,2021-03-04,07:00:00,07:00,147.84305555555557
63,2021-03-05,07:00:00,07:00,
64,2021-03-06,07:00:00,07:00,
65,2021-03-07,07:00:00,07:00,128.44305555555556
66,2021-03-08,07:00:00,07:00,147.47569444444446
67,2021-03-09,07:00:00,07:00,91.34416666666668
68,2021-03-10,07:00:00,07:00,80.26083333333334
69,2021-03-11,07:00:00,07:00,93.50666666666666
70,2021-03-12,07:00:00,07:00,
71,2021-03-13,07:00:00,07:00,146.91944444444445
72,2021-03-14,07:00:00,07:00,
73,2021-03-15,07:00:00,07:00,96.75
74,2021-03-16,07:00:00,07:00,
75,2021-03-17,07:00:00,07:00,
76,2021-03-18,07:00:00,07:00,
77,2021-03-19,07:00:00,07:00,
78,2021-03-20,07:00:00,07:00,
79,2021-03-21,07:00:00,07:00,
80,2021-03-22,07:00:00,07:00,
81,2021-03-23,07:00:00,07:00,
82,2021-03-24,07:00:00,07:00,
83,2021-03-25,07:00:00,07:00,
84,2021-03-26,07:00:00,07:00,
85,2021-03-27,07:00:00,07:00,
86,2021-03-28,07:00:00,07:00,
87,2021-03-29,07:00:00,07:00,
88,2021-03-30,07:00:00,07:00,3.6004000000000005
89,2021-03-31,07:00:00,07:00,
90,2021-04-01,07:00:00,07:00,
91,2021-04-02,07:00:00,07:00,3.55945
92,2021-04-03,07:00:00,07:00,
93,2021-04-04,07:00:00,07:00,
94,2021-04-05,07:00:00,07:00,
95,2021-04-06,07:00:00,07:00,
96,2021-04-07,07:00:00,07:00,
97,2021-04-08,07:00:00,07:00,
98,2021-04-09,07:00:00,07:00,
99,2021-04-10,07:00:00,07:00,
100,2021-04-11,07:00:00,07:00,3.6083
101,2021-04-12,07:00:00,07:00,
102,2021-04-13,07:00:00,07:00,
103,2021-04-14,07:00:00,07:00,
104,2021-04-15,07:00:00,07:00,
105,2021-04-16,07:00:00,07:00,
106,2021-04-17,07:00:00,07:00,
107,2021-04-18,07:00:00,07:00,
108,2021-04-19,07:00:00,07:00,
109,2021-04-20,07:00:00,07:00,
110,2021-04-21,07:00:00,07:00,
111,2021-04-22,07:00:00,07:00,
112,2021-04-23,07:00:00,07:00,
113,2021-04-24,07:00:00,07:00,
114,2021-04-25,07:00:00,07:00,89.82166666666667
