,yymmdd,time,time zone,AQI 24h
0,2021-01-01,07:00:00,07:00,119.5263888888889
1,2021-01-02,07:00:00,07:00,170.6422619047619
2,2021-01-03,07:00:00,07:00,169.69791666666666
3,2021-01-04,07:00:00,07:00,175.88839285714286
4,2021-01-05,07:00:00,07:00,
5,2021-01-06,07:00:00,07:00,
6,2021-01-07,07:00:00,07:00,
7,2021-01-08,07:00:00,07:00,24.53333333333333
8,2021-01-09,07:00:00,07:00,59.18333333333333
9,2021-01-10,07:00:00,07:00,82.88499999999999
10,2021-01-11,07:00:00,07:00,
11,2021-01-12,07:00:00,07:00,
12,2021-01-13,07:00:00,07:00,
13,2021-01-14,07:00:00,07:00,160.2330357142857
14,2021-01-15,07:00:00,07:00,179.83035714285714
15,2021-01-16,07:00:00,07:00,191.82767857142858
16,2021-01-17,07:00:00,07:00,139.97083333333333
17,2021-01-18,07:00:00,07:00,
18,2021-01-19,07:00:00,07:00,
19,2021-01-20,07:00:00,07:00,
20,2021-01-21,07:00:00,07:00,
21,2021-01-22,07:00:00,07:00,
22,2021-01-23,07:00:00,07:00,
23,2021-01-24,07:00:00,07:00,
24,2021-01-25,07:00:00,07:00,
25,2021-01-26,07:00:00,07:00,80.1475
26,2021-01-27,07:00:00,07:00,332.77663333333334
27,2021-01-28,07:00:00,07:00,73.7475
28,2021-01-29,07:00:00,07:00,119.2826388888889
29,2021-01-30,07:00:00,07:00,156.3282738095238
30,2021-01-31,07:00:00,07:00,145.80069444444445
31,2021-02-01,07:00:00,07:00,
32,2021-02-02,07:00:00,07:00,
33,2021-02-03,07:00:00,07:00,76.0
34,2021-02-04,07:00:00,07:00,85.2675
35,2021-02-05,07:00:00,07:00,
36,2021-02-06,07:00:00,07:00,
37,2021-02-07,07:00:00,07:00,
38,2021-02-08,07:00:00,07:00,
39,2021-02-09,07:00:00,07:00,
40,2021-02-10,07:00:00,07:00,
41,2021-02-11,07:00:00,07:00,
42,2021-02-12,07:00:00,07:00,
43,2021-02-13,07:00:00,07:00,
44,2021-02-14,07:00:00,07:00,
45,2021-02-15,07:00:00,07:00,
46,2021-02-16,07:00:00,07:00,
47,2021-02-17,07:00:00,07:00,
48,2021-02-18,07:00:00,07:00,115.56944444444443
49,2021-02-19,07:00:00,07:00,138.51736111111111
50,2021-02-20,07:00:00,07:00,121.14791666666667
51,2021-02-21,07:00:00,07:00,92.85333333333335
52,2021-02-22,07:00:00,07:00,83.22749999999999
53,2021-02-23,07:00:00,07:00,
54,2021-02-24,07:00:00,07:00,
55,2021-02-25,07:00:00,07:00,
56,2021-02-26,07:00:00,07:00,
57,2021-02-27,07:00:00,07:00,73.51416666666667
58,2021-02-28,07:00:00,07:00,88.77916666666668
59,2021-03-01,07:00:00,07:00,
60,2021-03-02,07:00:00,07:00,
61,2021-03-03,07:00:00,07:00,109.85069444444444
62,2021-03-04,07:00:00,07:00,104.64652777777776
63,2021-03-05,07:00:00,07:00,82.61083333333333
64,2021-03-06,07:00:00,07:00,100.79652777777778
65,2021-03-07,07:00:00,07:00,83.72666666666666
66,2021-03-08,07:00:00,07:00,95.22083333333335
67,2021-03-09,07:00:00,07:00,48.38833333333334
68,2021-03-10,07:00:00,07:00,42.70166666666666
69,2021-03-11,07:00:00,07:00,54.48500000000001
70,2021-03-12,07:00:00,07:00,65.36999999999999
71,2021-03-13,07:00:00,07:00,82.21083333333334
72,2021-03-14,07:00:00,07:00,81.0075
73,2021-03-15,07:00:00,07:00,58.604166666666664
74,2021-03-16,07:00:00,07:00,
75,2021-03-17,07:00:00,07:00,
76,2021-03-18,07:00:00,07:00,64.28583333333333
77,2021-03-19,07:00:00,07:00,46.85
78,2021-03-20,07:00:00,07:00,42.942499999999995
79,2021-03-21,07:00:00,07:00,33.98833333333334
80,2021-03-22,07:00:00,07:00,37.69
81,2021-03-23,07:00:00,07:00,62.01
82,2021-03-24,07:00:00,07:00,
83,2021-03-25,07:00:00,07:00,
84,2021-03-26,07:00:00,07:00,82.235
85,2021-03-27,07:00:00,07:00,55.50833333333333
86,2021-03-28,07:00:00,07:00,49.989166666666655
87,2021-03-29,07:00:00,07:00,93.3525
88,2021-03-30,07:00:00,07:00,94.27416666666666
89,2021-03-31,07:00:00,07:00,86.75833333333333
90,2021-04-01,07:00:00,07:00,78.15166666666666
91,2021-04-02,07:00:00,07:00,55.59666666666667
92,2021-04-03,07:00:00,07:00,
93,2021-04-04,07:00:00,07:00,
94,2021-04-05,07:00:00,07:00,
95,2021-04-06,07:00:00,07:00,
96,2021-04-07,07:00:00,07:00,
97,2021-04-08,07:00:00,07:00,53.53333333333334
98,2021-04-09,07:00:00,07:00,46.610833333333325
99,2021-04-10,07:00:00,07:00,70.0425
100,2021-04-11,07:00:00,07:00,107.36458333333333
101,2021-04-12,07:00:00,07:00,52.267525
102,2021-04-13,07:00:00,07:00,11674.300333333334
103,2021-04-14,07:00:00,07:00,79.47777500000001
104,2021-04-15,07:00:00,07:00,30.477500000000003
105,2021-04-16,07:00:00,07:00,28.000833333333333
106,2021-04-17,07:00:00,07:00,28.40833333333333
107,2021-04-18,07:00:00,07:00,68.23166666666667
108,2021-04-19,07:00:00,07:00,48.58166666666667
109,2021-04-20,07:00:00,07:00,
110,2021-04-21,07:00:00,07:00,
111,2021-04-22,07:00:00,07:00,
112,2021-04-23,07:00:00,07:00,34.68416666666666
113,2021-04-24,07:00:00,07:00,47.16416666666667
114,2021-04-25,07:00:00,07:00,39.39666666666667
115,2021-04-26,07:00:00,07:00,31.605
116,2021-04-27,07:00:00,07:00,37.4975
117,2021-04-28,07:00:00,07:00,44.098333333333336
118,2021-04-29,07:00:00,07:00,27.238333333333333
119,2021-04-30,07:00:00,07:00,81.94833333333334
120,2021-05-01,07:00:00,07:00,63.678333333333335
121,2021-05-02,07:00:00,07:00,43.479166666666664
122,2021-05-03,07:00:00,07:00,28.263333333333335
123,2021-05-04,07:00:00,07:00,35.64416666666666
124,2021-05-05,07:00:00,07:00,25.114166666666666
125,2021-05-06,07:00:00,07:00,53.065
126,2021-05-07,07:00:00,07:00,49.46999999999999
127,2021-05-08,07:00:00,07:00,47.63083333333333
128,2021-05-09,07:00:00,07:00,36.214999999999996
129,2021-05-10,07:00:00,07:00,56.719166666666666
130,2021-05-11,07:00:00,07:00,49.74666666666667
131,2021-05-12,07:00:00,07:00,47.56666666666666
132,2021-05-13,07:00:00,07:00,39.737500000000004
133,2021-05-14,07:00:00,07:00,34.392500000000005
134,2021-05-15,07:00:00,07:00,35.416666666666664
135,2021-05-16,07:00:00,07:00,46.27583333333333
136,2021-05-17,07:00:00,07:00,26.632499999999997
137,2021-05-18,07:00:00,07:00,20.22083333333333
138,2021-05-19,07:00:00,07:00,37.4175
139,2021-05-20,07:00:00,07:00,35.21083333333333
140,2021-05-21,07:00:00,07:00,39.115
141,2021-05-22,07:00:00,07:00,38.41916666666666
142,2021-05-23,07:00:00,07:00,35.28583333333333
143,2021-05-24,07:00:00,07:00,16.704166666666666
144,2021-05-25,07:00:00,07:00,30.545833333333334
145,2021-05-26,07:00:00,07:00,50.556666666666665
146,2021-05-27,07:00:00,07:00,23.52416666666667
147,2021-05-28,07:00:00,07:00,30.6775
148,2021-05-29,07:00:00,07:00,51.51416666666666
149,2021-05-30,07:00:00,07:00,59.81583333333334
150,2021-05-31,07:00:00,07:00,54.76083333333333
151,2021-06-01,07:00:00,07:00,3337645.958533333
152,2021-06-02,07:00:00,07:00,67.8525
153,2021-06-03,07:00:00,07:00,90.21
154,2021-06-04,07:00:00,07:00,
155,2021-06-05,07:00:00,07:00,
156,2021-06-06,07:00:00,07:00,168.42648809523808
157,2021-06-07,07:00:00,07:00,77.42999999999999
158,2021-06-08,07:00:00,07:00,49.541666666666664
159,2021-06-09,07:00:00,07:00,47.09583333333333
160,2021-06-10,07:00:00,07:00,33.40083333333333
